source,title,url,published_at,summary,body_text,cheap_relevance,is_relevant,event_type,affected_channel,direction,intensity,expected_horizon,novelty,policy_stage,confidence,event_date
dg_clima_official,"Six winners of the 2024 Innovation Fund hydrogen auction sign grant agreements, advancing renewable hydrogen rollout in the EU",https://climate.ec.europa.eu/news-other-reads/news/six-winners-2024-innovation-fund-hydrogen-auction-sign-grant-agreements-advancing-renewable-hydrogen-2026-01-20_en,"Wed, 21 Jan 2026 10:54:51 +0100","Six hydrogen projects awarded €270M from EU ETS revenues; projects aim to cut 3.4M tonnes CO₂ over 10 years, boosting compliance demand via verified emissions reduction.","Six projects selected in the 2024 Innovation Fund Auction for renewable hydrogen production (IF24 Auction) have signed their grant agreements, receiving a total of €270.6 million, sourced from EU Emissions Trading System revenues. Two of these projects were awarded under the dedicated maritime topic, receiving more than €35 million to supply renewable hydrogen to maritime off-takers.The auction operates under the domestic pillar of the European Hydrogen Bank, which aims to scale up European hydrogen production and strengthen market integration. It supports the replacement of natural gas, coal and oil in hard-to-decarbonise industries and transport sectors. The awarded funding will help these projects bridge the difference between their production costs and the price that industrial users are willing to pay for their product. This market-based design also aims to reduce risks for investors and lessen the administrative burden for applicants.The hydrogen produced is renewable fuel of non-biological origin (RFNBO) and is expected to be used in key sectors like the chemical industry and mobility, mostly in helping decarbonise maritime and heavy-duty transport. Together, these projects are projected to produce around 500 kilotonnes of renewable hydrogen, cutting almost 3.4 million tonnes of CO₂ emissions over an operational period of 10 years.The projects are located in Spain, Finland and Norway, and will install a total of 381.25 megawatts of electrolyser capacity. The individual grant values range from €135.5 million to €1.8 million for installations with a megawatt electric (MWe) capacity from 5 to 200 MWe. The awarded projects presented bids going from €0.33 to €1.88 per kilogram of RFNBO Hydrogen.Meet the projectsThe projects that have signed grant agreements:Project nameCoordinatorCountryBid volume (kt_H2 / 10 yrs)Expected GHG avoidance** (kt_CO2 / 10 yrs)Bid price (EUR/kg)Bid capacity (MWe)Kristinestad PtXKoppö Energia OyFinland2581,7630.33200H2CRIGREEN DEVCO ENERGY 6, S.L.U.Spain302040.4430NOONIBERDROLA CLIENTESSpain1611,1040.84120GH2Move-VLCDiverxia Infraestructuras S.LSpain2150.855RjukanH2NORWEGIAN HYDROGEN ASNorway292010.4518.75HammerfestH2GREEN H ASNorway12801.887.5** Calculated based on the 2021-2025 ETS benchmark of 6.84 tons CO2e/tH2, not taking into account additional carbon abatement due to substitution effects in the H2 end use application (i.e conservative estimate)Auctions as a ServiceIn parallel, Spain, Lithuania, and Austria allocated €836 million in national funding for projects in their countries through the Innovation Fund’s ‘Auctions-as-a-service' feature. This allows Member States to identify and fund eligible projects in their territories that meet the qualification criteria but cannot be funded by the Innovation Fund due to budgetary limitations.‘Auctions-as-a-Service' is open to all Member States, enabling them to benefit from the EU-level auction platform and award national funding to additional projects with a simplified procedure. Projects awarded by participating Member States will be announced by the respective national authorities.Next StepsThe European Climate, Infrastructure and Environment Executive Agency (CINEA) will accompany the projects throughout the development phase, ensuring compliance with Innovation Fund requirements and supporting smooth progress toward financial close and construction.The IF24 Auction will provide a fixed premium per kilogram of certified and verified renewable hydrogen (RFNBO) produced. Signed projects must reach financial close within two and a half years and start producing renewable hydrogen within five years. They will receive the fixed premium for up to ten years, based on certified and verified RFNBO hydrogen production.The Hydrogen Bank is already working on the next cycle: the third Innovation Fund Hydrogen Auction was launched on 4 December 2025 with a budget of up to €1.3 billion. The deadline to submit proposals is 19 February, 17:00 CET via the EU Funding & Tenders Portal.BackgroundThe Innovation Fund is one of the world’s largest funding programmes for the deployment of innovative net-zero technologies, with an estimated budget of €40 billion from the revenues of auctioning allowances under the EU Emissions Trading System between 2020 and 2030.The European Hydrogen Bank is an initiative to facilitate the EU's domestic production and imports of renewable hydrogen. It aims to unlock private investment in the EU and in third countries by addressing investment challenges, closing the funding gap, and connecting a future renewable hydrogen supply to consumers.Under the first renewable hydrogen auction (IF23 Auction), six projects signed their grant agreements in 2024 and five of them have now entered the implementation phase, producing renewable hydrogen used in sectors such as steel, chemicals, maritime transport and fertilisers.More InformationQ&AInnovation FundInnovation Fund competitive biddingIF24 AuctionEuropean Hydrogen BankNearly €1 billion awarded to boost development of renewable hydrogen (press release 20 May 2025) Details Publication date20 January 2026AuthorDirectorate-General for Climate Action Share this page {""service"":""share"",""version"":""2.0"",""networks"":[""twitter"",""facebook"",""linkedin"",""email"",""more""],""display"":""icons"",""stats"":true,""selection"":true}",1.0,True,verified_emissions,compliance_demand,bullish,2,20_60d,new,implementation,0.9,2026-01-21
dg_clima_official,Publication of Verified Emissions Report 2025,https://climate.ec.europa.eu/news-other-reads/news/publication-verified-emissions-report-2025-2026-02-18_en,"Wed, 18 Feb 2026 16:07:33 +0100","Verified Emissions Report delayed to April 9, 2026, due to bank holidays; no immediate market impact.","Due to the bank holidays beginning of April, this year’s ETS Verified Emissions Report will be published on April 9, 2026, at the latest. Details Publication date18 February 2026AuthorDirectorate-General for Climate Action Share this page {""service"":""share"",""version"":""2.0"",""networks"":[""twitter"",""facebook"",""linkedin"",""email"",""more""],""display"":""icons"",""stats"":true,""selection"":true}",1.0,True,verified_emissions,compliance_demand,neutral,1,1_5d,new,reporting,0.8,2026-02-18
dg_clima_official,Commission updates Union Registry rules for Effort Sharing and land-use accounting,https://climate.ec.europa.eu/news-other-reads/news/commission-updates-union-registry-rules-effort-sharing-and-land-use-accounting-2026-01-14_en,"Wed, 14 Jan 2026 11:32:28 +0100","Updated Union Registry rules enhance transparency for ESR and LULUCF transactions, impacting compliance reporting for 2021-2025.","The European Commission has amended the Union Registry Regulation (Commission Delegated Regulation (EU) 2019/1122), which ensures the accurate and transparent accounting of Member States’ transactions under the Effort Sharing Regulation (ESR) and the Land use, land-use change and forestry (LULUCF) Regulation.The updated rules align the Union Registry with the revised Effort Sharing and LULUCF regulations, adopted in 2023 as part of the Fit for 55 package, delivering on the European Green Deal objectives. They introduce updated provisions to properly record transactions related to annual emission allocations under the ESR and emissions and removals units under the LULUCF Regulation.The Union Registry functions as a central platform that allows Member States to make use of the flexibilities provided for under both regulations, such as the transfer of annual emission allocations and units. By tracking all such transactions, the Registry ensures accuracy, transparency and integrity in the implementation of EU climate targets. The compliance check for the period 2021-2025 will take place in 2027.The ESR assigns binding national targets to Member State with the purpose of achieving a collective EU reduction of greenhouse gas emissions of 40% by 2030 (compared to 2005 levels) in the following sectors: domestic transport (excluding aviation), buildings, agriculture, small industry and waste.The LULUCF Regulation governs the EU and Member States’ targets and commitments for increased net carbon removals in the land use sector by 2030. It aims to enhance governance and promote transparency for more sustainable land management practices across the EU.For more information on both regulations, please visit:Effort sharing 2021-2030: targets and flexibilities - European Commission.Land use sector - Climate Action - European Commission Details Publication date14 January 2026AuthorDirectorate-General for Climate Action Share this page {""service"":""share"",""version"":""2.0"",""networks"":[""twitter"",""facebook"",""linkedin"",""email"",""more""],""display"":""icons"",""stats"":true,""selection"":true}",1.0,True,verified_emissions,compliance_demand,neutral,1,20_60d,continuation,implementation,0.8,2026-01-14
dg_clima_official,2025 Carbon Market Report: EU ETS lowers power sector emissions and expands to maritime transport,https://climate.ec.europa.eu/news-other-reads/news/2025-carbon-market-report-eu-ets-lowers-power-sector-emissions-and-expands-maritime-transport-2025-12-03_en,"Wed, 03 Dec 2025 13:53:49 +0100","Maritime ETS expands to cover 50% of EEA-bound voyages; compliance high, but 2025 surrender rate at 40% with allowance discounts for ice-class ships.","The European Commission adopted today the 2025 Carbon Market Report, presenting an effective and well-functioning EU Emissions Trading System (EU ETS). As part of the broader State of the Energy Union Report, the Carbon Market Report takes stock of the functioning of the EU ETS in 2024 and highlights relevant developments in the first half of 2025. It shows how emissions in the power sector and industry continue in the declining trend. EU ETS emissions from power and industry installations are around 50% below 2005 levels and the EU ETS is on track to achieve the 2030 target of -62% emissions.In 2024, emissions from installations in the power sector fell by nearly 11% compared to 2023 (overall emissions from combustion of fuels, from both power and industry, fell by 9%). Renewable electricity production continued to increase (primarily in terms of wind and solar electricity) and gas continued to replace coal in power generation. The share of emissions in the EU ETS from hard coal combustion reached a historical low in 2024.Emissions from industrial installations decreased slightly. Overall industrial production remained largely at the same level, but with differences between sectors, including a modest recovery in output volumes in some sectors such as steel, fertilisers and chemicals.In line with the ‘polluter pays’ principle, the EU ETS prices intra-European aviation emissions and departing flights to Switzerland and the UK. These increased in 2024 by around 15% above 2023 levels. Around half of the increase reflects the continued growth of emissions in the sector, and the other part is due to coverage of tourist flights to the EU’s outermost regions. To further tackle emissions from aviation, free allocation of emission allowances to aircraft operators continued to be gradually phased down. The EU ETS also started rewarding airlines for their use of sustainable aviation fuels (SAF) through additional allowance allocation, and the EU became the first jurisdiction to introduce monitoring and reporting of non-CO2 aviation effects.2024 was also the first year that CO2 emissions from maritime transport were included in the EU ETS. The system now covers 50% of emissions from voyages departing or arriving outside of the European Economic Area (EEA), and all emissions between two EEA ports and when ships are at an EEA port. Compliance was high, showing how the start of EU ETS for maritime ran smoothly, with shipping companies surrendering allowances for more than 99% of their relevant surrendering requirements by the 30 September deadline. In 2025, shipping companies surrendered allowances for 40% of their 2024 emissions. In addition, shipping companies may surrender 5% fewer allowances than their verified emission from ice-class ships. To protect the environmental integrity of the system, when fewer allowances are surrendered compared to the verified emissions from maritime transport in 2024 and 2025, Member States will cancel from auctioning the number of allowances corresponding to that difference.EU ETS revenue has remained an important source of funding for the clean transition, with €38.8 billion raised in 2024. The revenues are distributed primarily to Member States to tackle climate change, progress on the clean transition and invest in clean and innovative energy technologies, as well as to the Innovation Fund, the Modernisation Fund and the Resilience and Recovery Facility for the REPowerEU plan. Total revenue raised by the EU ETS to date exceeds €250 billion.Member States have largely used their 2024 ETS revenues to support projects in energy supply – renewables, grids and storage, energy efficiency, heating and cooling in building and public transport and mobility. Examples include support to offshore wind and biogas upgrades in Denmark, deep retrofit projects in residential buildings in Lithuania, expansion of public transport in Portugal, and investments in rail transport and cycle paths in Slovenia. An overview of Member States’ reporting on the use of their ETS revenue can be found in the EU Climate Action Progress Report.The Carbon Market Report also explains adjustments to the ETS cap taking effect in 2026: rebasing (one-off reduction), expansion to methane and nitrous oxide from maritime transport, and reduction based on the updated list of small emitters being excluded from the EU ETS.Read more2025 Carbon Market Report2025 Carbon Market Report – supplementary technical information Details Publication date3 December 2025AuthorDirectorate-General for Climate Action Share this page {""service"":""share"",""version"":""2.0"",""networks"":[""twitter"",""facebook"",""linkedin"",""email"",""more""],""display"":""icons"",""stats"":true,""selection"":true}",1.0,True,maritime_ets,compliance_demand,bearish,2,20_60d,new,implementation,0.9,2025-12-03
dg_clima_official,The Commission and EUROCONTROL update their IT tool to calculate non-CO₂ aviation effects on climate – now available to users,https://climate.ec.europa.eu/news-other-reads/news/commission-and-eurocontrol-update-their-it-tool-calculate-non-co2-aviation-effects-climate-now-2026-01-27_en,"Tue, 27 Jan 2026 11:47:16 +0100","NEATS V2 enables airlines to report non-CO₂ aviation impacts, preparing for 2025 EU ETS compliance and increasing reporting accuracy.","The European Commission and EUROCONTROL have released a second version (V2) of NEATS - the Non-CO2 Aviation Effects Tracking System – an IT tool for monitoring, reporting, and verifying the non-CO2 climate impacts of aviation. Aircraft operators can now calculate the impact of their flights by providing data they collect. The results generated at this stage are indicative.NEATS includes a set of scientifically established models to calculate per flight climate effects. The tool relies largely on the PyContrails Python library, which models contrails. Further refinements of functions and data parameters in the NEATS V2 are underway in preparation for the release of third version (V3). V3 will support the EU Emissions Trading System (EU ETS) reporting for 2025 emissions and will introduce dedicated interfaces for the aircraft operators, verifiers and competent authorities.Developed under the Cooperation Agreement between EUROCONTROL and the European Commission’s Directorate-General for Climate Action, this new version of NEATS is the result of close coordination with key stakeholders (airlines, aircraft and engine manufacturers) and is supported by work from To70, AerLabs, the German national weather services (DWD) and aerospace centre (DLR). In collaboration with the Swiss authorities, this version also covers flights reported under the Swiss Emission Trading System. NEATS is a key step towards a formalised and coherent approach to addressing aviation’s full climate impact and improving the sector’s sustainability. By streamlining and, where possible, automating the monitoring, reporting and verification of non-CO2 aviation effects - such as contrails and nitrogen oxides (NOx) - the tool supports the implementation of the EU ETS and reinforces the EU’s role as a global leader in climate innovation. NEATS can be accessed at https://neats.eurocontrol.int/For registration, please contact neatseurocontrol [dot] int (neats[at]eurocontrol[dot]int) Details Publication date27 January 2026AuthorDirectorate-General for Climate Action Share this page {""service"":""share"",""version"":""2.0"",""networks"":[""twitter"",""facebook"",""linkedin"",""email"",""more""],""display"":""icons"",""stats"":true,""selection"":true}",1.0,True,aviation_ets,compliance_demand,bullish,2,20_60d,new,implementation,0.85,2026-01-27
dg_clima_official,Review of the Governance Regulation on the Energy Union and Climate Action – Public consultation launched,https://energy.ec.europa.eu/news/review-governance-regulation-energy-union-and-climate-action-public-consultation-launched-2025-12-18_en,"Tue, 23 Dec 2025 09:42:16 +0100","EU launches 12-week public consultation on Governance Regulation revision, impacting long-term climate policy and ETS alignment post-2030.","©Gettyimages / Ellen Marlen The Commission has launched a 12-week open public consultation and call for evidence to help shape the upcoming revision of the Governance Regulation – the legislative backbone of the Energy Union and the strategic framework for achieving the EU climate and energy policy objectives on the path to climate neutrality. With the legislative proposal scheduled for publication in the last quarter of 2026 as announced in the Commission Work Programme, the input from this consultation will feed into the Commission’s preparation. The consultation closes on 12 March 2026.This exercise marks the first concrete step in the process of preparing the energy and climate policy strategy for the period after 2030. It follows on from last year’s review report on the functioning of the Regulation, which concluded that the Regulation has played an important role in keeping the EU on track to meet its 2030 climate and energy targets by making planning and reporting more coherent, integrated and streamlined, but nevertheless identified several areas for further improvement. At the same time, the political guidelines for 2024-2029 of the second von der Leyen Commission include an ambition “to develop the governance needed for a true Energy Union”. The revision of the Governance Regulation aims to align the framework more closely with Europe’s strategic priorities, including affordability, competitiveness, decarbonisation, energy security and strategic autonomy. It will also seek to further streamline planning and reporting obligations and reduce administrative burden, supported where appropriate by further digitalisation. In addition, the process will work to reinforce the synergies between planning, reporting and investment, supporting the delivery existing objectives and providing the basis for progress towards the EU’s climate and energy objectives for the decade ahead after 2030.Adopted in 2018, the Regulation on the Energy Union and Climate Action (EU) 2018/1999 established a new governance mechanism to help the EU and its Member States reach the 2030 climate and energy targets and meet the Paris Agreement goals. The Regulation aims to facilitate and monitor strategic planning, through National Energy and Climate Plans (NECPs), covering the areas of decarbonisation, energy efficiency, energy security, the internal energy market and research, innovation and competitiveness. It also aims to ensure EU’s compliance with international reporting obligations under the UNFCCC and the Paris Agreement. Last year’s evaluation noted that the Regulation’s objectives remain highly relevant, also against the backdrop of current socio-economic, environmental, and geopolitical challenges. It concluded that the introduction of the NECPs has improved strategic planning, but also identified areas for improvement. These included turning the NECPs into real investment plans, increasing coherence with other policy areas such as industry, environment, just transition, agriculture, transport, climate resilience and macro-economic policy. The evaluation also pointed to areas where reporting obligations can be streamlined and emphasized the need to increase engagement with stakeholders.Related Links: Update of the governance of the Energy Union and climate actionEnergy union Details Publication date18 December 2025AuthorDirectorate-General for Energy Share this page {""service"":""share"",""version"":""2.0"",""networks"":[""twitter"",""facebook"",""linkedin"",""email"",""more""],""display"":""icons"",""stats"":true,""selection"":true}",1.0,True,macro_risk,macro,neutral,1,20_60d,new,consultation,0.7,2025-12-23
dg_clima_official,Commission strengthens the Carbon Border Adjustment Mechanism*,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_3088,"Thu, 18 Dec 2025 11:45:56 +0100","Commission proposes CBAM enhancements to curb circumvention, boosting compliance demand and EU ETS-related emissions reporting.",,1.0,True,cbam,compliance_demand,bullish,2,5_20d,new,proposal,0.8,2025-12-18
dg_clima_official,Revised 2026 EU ETS auction calendars published,https://climate.ec.europa.eu/news-other-reads/news/revised-2026-eu-ets-auction-calendars-published-2025-12-11_en,"Thu, 11 Dec 2025 18:18:29 +0100","2026 EU ETS auction calendar revised with allowance cancellations for maritime emissions, reducing supply.","The published calendars reflect the cancellation of allowances relating to 2024 phase in of maritime emissions in the EU ETS and the inclusion of non-CO2 greenhouse gas emissions from maritime transport activities.Maritime transport has been included in the EU ETS since 2024, with shipping companies required to surrender allowances for 40% of their emissions for 2024 (and 70% in 2025). In addition, shipping companies may surrender 5% fewer allowances than their verified emission from ice-class ships. To protect the environmental integrity of the system, when fewer allowances are surrendered compared to the verified emissions from maritime transport in 2024 and 2025, Member States will cancel the number of allowances corresponding to that difference. Under Articles 3gb and 12(3-e) of the ETS Directive, the difference is to be cancelled from auctioning.The cancellation for 2024, totalling 54 243 768 allowances, was determined on 14 October 2025 as the difference between verified emissions reported in the Union Registry (89 811 331) and the allowances surrendered in accounts with verified emissions (35 588 702), corrected by the amount of excess surrendered allowances (21 139). The surrendered allowances and emissions levels for 2024 verified after 14 October 2025 will be reflected in future revisions of the EU ETS auction calendar.Furthermore, pursuant to Article 9 of the ETS Directive, the volume of general allowances has been increased by 2 375 680 units to take into account the coverage of greenhouse gas emissions other than CO2 emissions from maritime transport activities, based on reported methane (CH4) and nitrous oxide (N2O) emissions for 2024.In 2026, auctions by the common auction platform will continue to take place on Mondays, Tuesdays and Thursdays, starting on 8 January. Auctions by Germany will be held weekly on Fridays, starting on 9 January. Auctions on behalf of Poland are scheduled bi-weekly on Wednesdays, starting on 7 January.Since 1 January 2021, the EU ETS Directive continues to apply to and in the UK with respect to the generation of electricity in Northern Ireland. In accordance with the Protocol on Ireland/Northern Ireland (the ‘Windsor Framework’), the UK will auction a volume of allowances corresponding to its share in the Union-wide cap. One auction for Northern Ireland will take place on 7 October 2026.The auction calendars consist of the auction volumes for all Member States, the Innovation Fund, the Modernisation Fund, the Recovery and Resilience Facility and the Social Climate Fund.The 2026 auction volumes are calculated in accordance with the previously published:Cap 2024 decisionMember States’ auction shares for phase 4 of the EU ETSAuctioning RegulationFor more information:Website of the auction platform EEXRegulatory update on the re-appointment of EEX as common auction platformEU ETS section of Commission websiteInnovation FundModernisation FundRecovery and Resilience FacilityREPowerEURegulation of the European Parliament and of the Council amending the Regulation establishing the Recovery and Resilience Facility (Regulation (EU) 2023/435) Details Publication date11 December 2025AuthorDirectorate-General for Climate Action Share this page {""service"":""share"",""version"":""2.0"",""networks"":[""twitter"",""facebook"",""linkedin"",""email"",""more""],""display"":""icons"",""stats"":true,""selection"":true}",1.0,True,auction_supply,allowance_supply,bearish,2,1_5d,new,implementation,0.95,2025-12-11
dg_clima_official,Unlocking €3 billion for investment opportunities in the decarbonisation of buildings and road transport,https://climate.ec.europa.eu/news-other-reads/news/unlocking-eu3-billion-investment-opportunities-decarbonisation-buildings-and-road-transport-2026-02-04_en,"Thu, 05 Feb 2026 11:59:13 +0100","€3B ETS2 Frontloading Facility pre-finances decarbonisation in buildings & transport before 2028, easing compliance burden and boosting demand for clean tech.","Unlocking €3 billion for investment opportunities in the decarbonisation of buildings and road transportToday, the European Investment Bank has agreed on a ETS2 Frontloading Facility, jointly developed with the Commission, making €3 billion available to accelerate investments in the decarbonisation of sectors covered by the new EU’s emissions trading system (ETS2), notably buildings and road transport. This will allow Member States that have transposed ETS2 to access the funding and pre-finance programmes before the new system kicks off in 2028 and revenues are collected.The frontloaded funding will mainly drive investments in cleaner heating and cooling and reduce energy demand in homes and buildings in the EU. It will ensure that the transition in ETS2 sectors is both socially fair and economically efficient, and supports the EU’s climate and energy objectives. Future investments will directly benefit low- and middle-income households making clean solutions more affordable for citizens, in line with the objectives of the Social Climate Fund and national Social Climate Plans.Commissioner for Climate, Net-Zero and Clean Growth, Wopke Hoekstra, said: “With the EIB ETS2 Frontloading Facility, €3billion are made available to Member States to support low and middle income households in the clean transition. The aim is to accelerate the deployment of solutions that reduce energy and transport bills, such as heat pumps and EV schemes. This is part of a package of measures to ensure a smooth phase in of ETS2 and socially fair transition. And this will come on top of the Social Climate Fund.""The ETS2 Frontloading Facility will also support measures to encourage a shift to public and shared transport, improve multimodality and expand e-mobility schemes. It will also help accelerate the uptake of zero-emission vehicles, e-bikes, and the deployment of recharging and refuelling infrastructure.There is the possibility of a top-up of the Facility at a later date. This Facility is part of the package of targeted measures proposed by the Commission to ensure a gradual and smooth launch of the ETS2. More information on the ETS2 Frontloading Facility is available online. Details Publication date4 February 2026AuthorDirectorate-General for Climate Action Share this page {""service"":""share"",""version"":""2.0"",""networks"":[""twitter"",""facebook"",""linkedin"",""email"",""more""],""display"":""icons"",""stats"":true,""selection"":true}",1.0,True,policy_rule_change,compliance_demand,bullish,2,20_60d,new,adoption,0.95,2026-02-05
dg_clima_official,€5.2 billion of EU Emissions Trading revenues earmarked for clean transition technologies under the Innovation Fund,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_2858,"Thu, 04 Dec 2025 09:05:25 +0100",EU ETS revenues earmarked for Innovation Fund; new funding opportunities expected to boost allowance supply and drive demand.,,1.0,True,auction_supply,allowance_supply,bullish,2,5_20d,new,adoption,0.8,2025-12-04
