_row_id,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,_query_id,relevance_score,relevance_hits,llm_vote,llm_score,llm_votes,llm_rationales
1,https://fee.org/articles/why-did-leon-trotsky-favor-eugenics/,https://mercury.postlight.com/amp?url=https://fee.org/articles/why-did-leon-trotsky-favor-eugenics/,Why Did Leon Trotsky Favor Eugenics ? ,2017-01-01,https://fee.org/media/20077/trotskycolor.png?anchor=center&mode=crop&height=466&widthratio=2.0171673819742489270386266094&rnd=131277431490000000,fee.org,English,,2,2,eu_context,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""This headline is unrelated to EU ETS market dynamics and lacks financial or carbon trading relevance."", ""This headline is unrelated to EU ETS market dynamics and lacks financial or carbon trading relevance."", ""This headline is unrelated to EU ETS market dynamics and lacks financial or carbon trading relevance.""]"
7,http://www.freemalaysiatoday.com/category/nation/2017/02/01/malaysias-first-carbon-credit-firm-to-offset-co2-emissions/,,Malaysia ’ s first carbon credit firm to offset CO2 emissions,2017-02-01,http://s3media.freemalaysiatoday.com/wp-content/uploads/2017/02/tangtoosiah.jpg,freemalaysiatoday.com,English,Malaysia,2,3,carbon_terms=3,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""Malaysia\u2019s first carbon credit firm may signal growing global carbon markets but doesn\u2019t directly impact EU ETS pricing without clearer linkages or trade dynamics."", ""Malaysia\u2019s first carbon credit firm may signal growing global carbon markets but doesn\u2019t directly impact EU ETS pricing without clearer linkages or trade dynamics."", ""Malaysia\u2019s first carbon credit firm may signal growing global carbon markets but doesn\u2019t directly impact EU ETS pricing without clearer linkages or trade dynamics.""]"
13,https://www.environmentalleader.com/2017/02/europe-rethink-calculates-carbon-emissions-aviation/,,Europe to Rethink How it Calculates Carbon Emissions from Aviation,2017-02-03,https://www.environmentalleader.com/wp-content/uploads/2017/02/2017-02-03_14-09-42-e1486149019158.jpg,environmentalleader.com,English,United States,1,5,eu_context;carbon_terms=3,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""Rethinking aviation emissions calculations could introduce uncertainty or complexity that may affect market pricing in the short term."", ""Rethinking aviation emissions calculations could introduce uncertainty or complexity that may affect market pricing in the short term."", ""Rethinking aviation emissions calculations could introduce uncertainty or complexity that may affect market pricing in the short term.""]"
19,http://carbon-pulse.com/30108/,,Lawmakers draw closer on EU ETS reform options « Carbon Pulse,2017-02-06,,carbon-pulse.com,English,France,1,9,eu_ets_strong;eu_context;carbon_terms=1,YES,1,"[""YES"", ""YES"", ""YES""]","[""Lawmakers advancing EU ETS reform options signals potential policy clarity and market stability, which can support carbon price confidence."", ""Lawmakers advancing EU ETS reform options signals potential policy clarity and market stability, which can support carbon price confidence."", ""Lawmakers advancing EU ETS reform options signals potential policy clarity and market stability, which can support carbon price confidence.""]"
25,http://www.cemnet.com/News/story/161047/european-parliament-to-vote-on-removing-cement-sector-ets-exemption.html,,European Parliament to vote on removing cement sector ETS exemption,2017-02-08,,cemnet.com,English,United States,1,2,eu_context,YES,1,"[""YES"", ""YES"", ""YES""]","[""Removing the cement sector\u2019s ETS exemption will likely increase carbon pricing pressure by expanding the scope of emissions trading."", ""Removing the cement sector\u2019s ETS exemption will likely increase carbon pricing pressure by expanding the scope of emissions trading."", ""Removing the cement sector\u2019s ETS exemption will likely increase carbon pricing pressure by expanding the scope of emissions trading.""]"
31,http://www.euractiv.com/section/climate-environment/news/carbon-market-reform-vote-puts-eu-cement-sector-in-the-spotlight/,,Carbon market reform vote puts EU cement sector in the spotlight – EurActiv . com,2017-02-10,http://www.euractiv.com/wp-content/uploads/sites/2/2017/02/Cement-factory-800x450.jpg,euractiv.com,English,Germany,1,4,eu_context;carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""The reform vote signals potential policy shifts that could increase carbon pricing pressure on heavy emitters like cement, boosting short-term ETS prices."", ""The reform vote signals potential policy shifts that could increase carbon pricing pressure on heavy emitters like cement, boosting short-term ETS prices."", ""The reform vote signals potential policy shifts that could increase carbon pricing pressure on heavy emitters like cement, boosting short-term ETS prices.""]"
37,https://worldmaritimenews.com/archives/212748/shipping-industry-calls-for-inclusion-of-ship-co2-in-eu-ets/,,Shipping Industry Calls for Inclusion of Ship CO2 in EU ETS,2017-02-14,http://worldmaritimenews.com/wp-content/uploads/2017/02/co2.jpg,worldmaritimenews.com,English,Singapore,1,8,eu_ets_strong;eu_context,YES,1,"[""YES"", ""YES"", ""YES""]","[""Inclusion of ship CO\u2082 emissions in the EU ETS expands the market\u2019s scope, increasing demand for carbon credits and potentially boosting prices."", ""Inclusion of ship CO\u2082 emissions in the EU ETS expands the market\u2019s scope, increasing demand for carbon credits and potentially boosting prices."", ""Inclusion of ship CO\u2082 emissions in the EU ETS expands the market\u2019s scope, increasing demand for carbon credits and potentially boosting prices.""]"
43,http://www.4-traders.com/news/EEX-Auction-News-EU-Auction--23886861/,http://www.4-traders.com/amp/news/EEX-Auction-News-EU-Auction--23886861/,EEX Auction News : EU Auction,2017-02-16,,4-traders.com,English,United States,1,9,eu_ets_strong;eu_context;carbon_terms=1,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices."", ""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices."", ""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices.""]"
49,http://peakoil.com/enviroment/eu-coal-plants-should-all-close-by-2030,,EU Coal Plants  Should all Close by 2030  ,2017-02-18,,peakoil.com,English,United States,1,3,eu_context;energy_driver,YES,1,"[""YES"", ""YES"", ""YES""]","[""This headline signals a policy-driven push to phase out coal, likely increasing carbon demand and boosting EU ETS prices."", ""This headline signals a policy-driven push to phase out coal, likely increasing carbon demand and boosting EU ETS prices."", ""This headline signals a policy-driven push to phase out coal, likely increasing carbon demand and boosting EU ETS prices.""]"
55,http://www.world-nuclear-news.org/EE-Foratom-says-reforms-to-Europes-ETS-insufficient-2102174.html,,Foratom says reforms to Europe ETS insufficient,2017-02-21,,world-nuclear-news.org,English,United States,1,2,eu_context,NO,-1,"[""NO"", ""NO"", ""NO""]","[""The headline suggests insufficient reforms, which could weaken market confidence and depress carbon prices in the short term."", ""The headline suggests insufficient reforms, which could weaken market confidence and depress carbon prices in the short term."", ""The headline suggests insufficient reforms, which could weaken market confidence and depress carbon prices in the short term.""]"
