_row_id,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,_query_id,relevance_score,relevance_hits,llm_vote,llm_score,llm_votes,llm_rationales
2,http://carbon-pulse.com/29837/,,"EU Market : EUAs rise for 2nd day to eye €5 . 60 test , break",2017-01-31,,carbon-pulse.com,English,France,1,9,eu_ets_strong;eu_context;carbon_terms=1,YES,1,"[""YES"", ""YES"", ""YES""]","[""Rising EUA prices approaching the \u20ac5.60 level indicate strong market demand and bullish momentum in the short term."", ""Rising EUA prices approaching the \u20ac5.60 level indicate strong market demand and bullish momentum in the short term."", ""Rising EUA prices approaching the \u20ac5.60 level indicate strong market demand and bullish momentum in the short term.""]"
6,http://www.mondovisione.com/media-and-resources/news/eex-trading-results-for-january-2017-eex-increases-volumes-in-power-options-an/,,EEX Trading Results For January 2017,2017-02-01,,mondovisione.com,English,United States,1,7,eu_ets_strong;carbon_terms=1,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""January 2017 EEX trading results alone do not indicate short-term trends in EU ETS carbon prices without context on volume, price movements, or market sentiment."", ""January 2017 EEX trading results alone do not indicate short-term trends in EU ETS carbon prices without context on volume, price movements, or market sentiment."", ""January 2017 EEX trading results alone do not indicate short-term trends in EU ETS carbon prices without context on volume, price movements, or market sentiment.""]"
10,http://www.hedgeweek.com/2017/02/02/248224/eex-increases-volumes-power-options-and-agricultural-products,,EEX increases volumes in power options and agricultural products,2017-02-02,http://www.hedgeweek.com/sites/default/files/imagecache/facebook_200_square/image_library/Graphs/Arrow%20up.jpg,hedgeweek.com,English,United States,1,7,eu_ets_strong;energy_driver,YES,1,"[""YES"", ""YES"", ""YES""]","[""Increased trading volumes in power options and agricultural products suggest heightened market activity and potential price volatility that could support carbon price stability."", ""Increased trading volumes in power options and agricultural products suggest heightened market activity and potential price volatility that could support carbon price stability."", ""Increased trading volumes in power options and agricultural products suggest heightened market activity and potential price volatility that could support carbon price stability.""]"
14,https://www.euractiv.com/section/climate-environment/opinion/what-finland-doesnt-want-you-to-know-about-its-forests/,,What Finland doesnt want you to know about its forests – EurActiv . com,2017-02-04,https://www.euractiv.com/wp-content/uploads/sites/2/2017/02/Finland-forest-Helsinki-800x450.jpg,euractiv.com,English,Germany,2,2,eu_context,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline lacks specific financial or policy details relevant to EU ETS pricing dynamics."", ""The headline lacks specific financial or policy details relevant to EU ETS pricing dynamics."", ""The headline lacks specific financial or policy details relevant to EU ETS pricing dynamics.""]"
18,http://www.natlawreview.com/article/energy-union-progress-report-emissions-trading-system-eu-mexico-free-trade-agreement,,"Energy Union Progress Report , Emissions Trading System , EU",2017-02-06,http://www.natlawreview.com/sites/default/files/styles/thumbnail/public/article/aux/1141/eu%20eu%20parilment-European-union-flag.jpg?itok=rKDRpc88,natlawreview.com,English,United States,1,11,eu_ets_strong;eu_context;carbon_terms=3,YES,1,"[""YES"", ""YES"", ""YES""]","[""The Energy Union Progress Report signals policy momentum that could boost EU ETS demand and stabilize or lift carbon prices."", ""The Energy Union Progress Report signals policy momentum that could boost EU ETS demand and stabilize or lift carbon prices."", ""The Energy Union Progress Report signals policy momentum that could boost EU ETS demand and stabilize or lift carbon prices.""]"
22,http://www.4-traders.com/news/EEX-Auction-News-EU-Auction--23827383/,http://www.4-traders.com/amp/news/EEX-Auction-News-EU-Auction--23827383/,EEX Auction News : EU Auction,2017-02-07,,4-traders.com,English,United States,1,9,eu_ets_strong;eu_context;carbon_terms=1,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices."", ""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices."", ""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices.""]"
26,http://airandenvironmentmanagement.cleantechnology-business-review.com/news/statkraft-14-european-utilities-send-wakeup-call-to-european-commission-on-ets-review-090217-5735815,,Statkraft sends second wakeup call on EU Emissions Trading System,2017-02-09,,airandenvironmentmanagement.cleantechnology-business-review.com,English,United States,1,11,eu_ets_strong;eu_context;carbon_terms=3,YES,1,"[""YES"", ""YES"", ""YES""]","[""Statkraft\u2019s warning signals potential tightening of emissions caps or increased demand for carbon credits, likely boosting short-term EU ETS prices."", ""Statkraft\u2019s warning signals potential tightening of emissions caps or increased demand for carbon credits, likely boosting short-term EU ETS prices."", ""Statkraft\u2019s warning signals potential tightening of emissions caps or increased demand for carbon credits, likely boosting short-term EU ETS prices.""]"
30,http://www.4-traders.com/news/EEX-Auction-News-German-Auction--23850379/,http://www.4-traders.com/amp/news/EEX-Auction-News-German-Auction--23850379/,EEX Auction News : German Auction,2017-02-10,,4-traders.com,English,United States,1,7,eu_ets_strong;carbon_terms=1,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices."", ""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices."", ""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices.""]"
34,http://www.dailymail.co.uk/wires/reuters/article-4220914/EU-lawmakers-split-carbon-reform-ahead-vote.html,http://www.dailymail.co.uk/wires/reuters/article-4220914/amp/EU-lawmakers-split-carbon-reform-ahead-vote.html,EU lawmakers split on carbon reform ahead of vote,2017-02-13,,dailymail.co.uk,English,United Kingdom,1,3,eu_context;carbon_terms=1,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The division among lawmakers introduces uncertainty that could disrupt market confidence and pricing stability."", ""The division among lawmakers introduces uncertainty that could disrupt market confidence and pricing stability."", ""The division among lawmakers introduces uncertainty that could disrupt market confidence and pricing stability.""]"
38,http://www.ship-technology.com/news/newsshipping-industry-urges-ec-to-add-emissions-in-eu-emissions-trading-system-5739991,,Shipping industry urges EC to add emissions to EU Emissions Trading System,2017-02-15,,ship-technology.com,English,United States,1,11,eu_ets_strong;eu_context;carbon_terms=3,YES,1,"[""YES"", ""YES"", ""YES""]","[""Adding shipping emissions to the EU ETS expands the market\u2019s scope, likely increasing demand and pushing prices higher in the short term."", ""Adding shipping emissions to the EU ETS expands the market\u2019s scope, likely increasing demand and pushing prices higher in the short term."", ""Adding shipping emissions to the EU ETS expands the market\u2019s scope, likely increasing demand and pushing prices higher in the short term.""]"
